iteration,latency_ms,req_id,timestamp_ms,worker_id
0,5,1-0-4746d7,1757915677013,1
0,5,0-0-663387,1757915677013,0
0,6,2-0-32ac23,1757915677014,2
0,6,3-0-b62c66,1757915677014,3
1,5,1-1-0d52d4,1757915677018,1
1,5,0-1-e4df6c,1757915677018,0
1,5,2-1-106b4c,1757915677019,2
1,5,3-1-2db62f,1757915677019,3
2,5,2-2-ba5a72,1757915677024,2
2,6,0-2-a51c54,1757915677024,0
2,5,3-2-317e41,1757915677024,3
2,6,1-2-347abe,1757915677024,1
3,5,0-3-7c112f,1757915677029,0
3,5,3-3-242d5f,1757915677029,3
3,5,2-3-860a35,1757915677029,2
3,6,1-3-90925f,1757915677030,1
4,6,2-4-afad2d,1757915677035,2
4,6,3-4-6a7dfc,1757915677035,3
4,6,0-4-69fbbc,1757915677035,0
4,6,1-4-c03ded,1757915677036,1
5,5,2-5-93d93a,1757915677040,2
5,5,3-5-dc2158,1757915677040,3
5,6,0-5-857b3c,1757915677041,0
5,5,1-5-d35a7a,1757915677041,1
6,5,3-6-cca9b0,1757915677045,3
6,5,2-6-904018,1757915677045,2
6,5,0-6-89de61,1757915677046,0
6,5,1-6-d3ece4,1757915677046,1
7,6,2-7-f0fbb9,1757915677051,2
7,6,3-7-6d7521,1757915677051,3
7,5,0-7-f1056e,1757915677051,0
7,6,1-7-82f094,1757915677052,1
8,5,2-8-d84033,1757915677056,2
8,5,3-8-1c2ef8,1757915677056,3
8,5,0-8-b4a5ef,1757915677056,0
8,5,1-8-70bfdc,1757915677057,1
9,6,2-9-b8500d,1757915677062,2
9,6,3-9-1defd3,1757915677062,3
9,6,0-9-cb57b3,1757915677062,0
9,6,1-9-4df71b,1757915677063,1
10,5,2-10-d4ba6e,1757915677067,2
10,5,3-10-182fee,1757915677067,3
10,5,0-10-c75a54,1757915677067,0
10,5,1-10-fd9bfc,1757915677068,1
11,5,0-11-6436a5,1757915677072,0
11,5,2-11-1b7d98,1757915677072,2
11,5,3-11-c336fd,1757915677072,3
11,5,1-11-ed7f3b,1757915677073,1
12,6,3-12-e4b5c5,1757915677078,3
12,6,0-12-e90923,1757915677078,0
12,6,2-12-f10472,1757915677078,2
12,6,1-12-c52879,1757915677079,1
13,5,0-13-67595b,1757915677083,0
13,5,2-13-2a43c5,1757915677083,2
13,5,3-13-24bbcc,1757915677083,3
13,5,1-13-f0b91a,1757915677084,1
14,6,0-14-87c151,1757915677089,0
14,6,2-14-288bfe,1757915677089,2
14,6,3-14-7b0713,1757915677089,3
14,6,1-14-d0a80d,1757915677090,1
15,5,2-15-2837f8,1757915677094,2
15,5,0-15-db2c0d,1757915677094,0
15,5,3-15-a5c1d9,1757915677094,3
15,5,1-15-d5da6a,1757915677095,1
16,5,2-16-108a74,1757915677099,2
16,6,3-16-7b7411,1757915677100,3
16,6,0-16-c6935d,1757915677100,0
16,6,1-16-3200fd,1757915677101,1
17,5,2-17-f841e6,1757915677104,2
17,5,3-17-745d43,1757915677105,3
17,5,0-17-2928ea,1757915677105,0
17,5,1-17-b2ef42,1757915677106,1
18,6,2-18-64f86e,1757915677110,2
18,5,3-18-da9bc4,1757915677110,3
18,5,0-18-41757f,1757915677110,0
18,5,1-18-f80f55,1757915677111,1
19,5,2-19-219047,1757915677115,2
19,6,3-19-65885f,1757915677116,3
19,6,0-19-266b7b,1757915677116,0
19,6,1-19-34aad4,1757915677117,1
20,5,2-20-c4d9b4,1757915677120,2
20,5,3-20-41e787,1757915677121,3
20,5,1-20-e8c2c9,1757915677122,1
20,6,0-20-4b0ba9,1757915677122,0
21,6,2-21-94c520,1757915677126,2
21,5,3-21-4bbc1c,1757915677126,3
21,5,1-21-eeeab7,1757915677127,1
21,5,0-21-04bdd0,1757915677127,0
22,5,2-22-66c3cf,1757915677131,2
22,5,3-22-478459,1757915677131,3
22,5,1-22-a0b0a5,1757915677132,1
22,6,0-22-b2136b,1757915677133,0
23,6,2-23-05722f,1757915677137,2
23,6,3-23-45832d,1757915677137,3
23,5,1-23-7ecc0b,1757915677137,1
23,5,0-23-1f16a7,1757915677138,0
24,5,3-24-7fc15d,1757915677142,3
24,5,2-24-5d441b,1757915677142,2
24,6,1-24-dc3488,1757915677143,1
24,5,0-24-da123b,1757915677143,0
25,5,3-25-f55618,1757915677147,3
25,5,2-25-2e4836,1757915677147,2
25,5,1-25-d456d7,1757915677148,1
25,6,0-25-a982e9,1757915677149,0
26,6,2-26-2ac19b,1757915677153,2
26,6,3-26-8315d4,1757915677153,3
26,5,1-26-16c415,1757915677153,1
26,5,0-26-a0178f,1757915677154,0
27,5,2-27-daaaae,1757915677158,2
27,5,3-27-450413,1757915677158,3
27,6,1-27-9c9c9f,1757915677159,1
27,5,0-27-3ce050,1757915677159,0
28,5,2-28-a34f40,1757915677163,2
28,6,3-28-a26673,1757915677164,3
28,5,1-28-bef34c,1757915677164,1
28,6,0-28-d5c87e,1757915677165,0
29,5,2-29-8f5c1e,1757915677168,2
29,5,1-29-41f2db,1757915677169,1
29,5,3-29-8a8121,1757915677169,3
29,6,0-29-896e18,1757915677171,0
30,6,2-30-946020,1757915677174,2
30,6,3-30-d83b73,1757915677175,3
30,6,1-30-fc2f3e,1757915677175,1
30,5,0-30-d00e7c,1757915677176,0
31,5,2-31-6cb695,1757915677179,2
31,5,1-31-aba0e8,1757915677180,1
31,5,3-31-8f2213,1757915677180,3
31,5,0-31-45233d,1757915677181,0
32,6,2-32-a3f249,1757915677185,2
32,6,1-32-06abcc,1757915677186,1
32,6,3-32-48812e,1757915677186,3
32,6,0-32-171e25,1757915677187,0
33,8,2-33-a4074a,1757915677193,2
33,7,1-33-4c542c,1757915677193,1
33,6,0-33-40d434,1757915677193,0
33,7,3-33-c5ca3c,1757915677193,3
34,6,2-34-115b2b,1757915677199,2
34,6,3-34-7a1cd8,1757915677199,3
34,6,1-34-a24351,1757915677199,1
34,6,0-34-a61b43,1757915677199,0
35,6,1-35-6e7b15,1757915677205,1
35,6,2-35-c2bcb6,1757915677205,2
35,6,0-35-97a27a,1757915677205,0
35,6,3-35-db6e42,1757915677205,3
36,5,0-36-626561,1757915677210,0
36,5,1-36-36520b,1757915677210,1
36,5,2-36-930d19,1757915677210,2
36,5,3-36-4c0b62,1757915677210,3
37,6,1-37-d8496b,1757915677216,1
37,6,0-37-f03d71,1757915677216,0
37,6,3-37-135fb0,1757915677216,3
37,6,2-37-f79558,1757915677216,2
38,5,0-38-dddbbc,1757915677221,0
38,5,1-38-6b198c,1757915677221,1
38,6,2-38-ba470b,1757915677222,2
38,6,3-38-12d706,1757915677222,3
39,5,0-39-007f1e,1757915677226,0
39,5,1-39-54515c,1757915677226,1
39,5,2-39-ba514e,1757915677227,2
39,6,3-39-dc0e39,1757915677228,3
40,6,1-40-d04ca2,1757915677232,1
40,6,0-40-632673,1757915677232,0
40,5,2-40-ef1881,1757915677232,2
40,5,3-40-fcebb2,1757915677233,3
41,5,1-41-90f77e,1757915677237,1
41,5,0-41-4f09b8,1757915677237,0
41,5,2-41-a133e2,1757915677237,2
41,6,3-41-10b41a,1757915677239,3
42,5,1-42-d33d57,1757915677242,1
42,6,2-42-6fd73d,1757915677243,2
42,6,0-42-801f61,1757915677243,0
42,5,3-42-00c86d,1757915677244,3
43,5,1-43-155430,1757915677247,1
43,5,0-43-cf3df6,1757915677248,0
43,5,2-43-745cc9,1757915677248,2
43,6,3-43-940798,1757915677250,3
44,5,0-44-c27669,1757915677253,0
44,7,1-44-bff159,1757915677254,1
44,6,2-44-5f3030,1757915677254,2
44,5,3-44-e43f45,1757915677255,3
45,5,2-45-c66982,1757915677259,2
45,5,1-45-40a714,1757915677259,1
45,5,0-45-e1ee48,1757915677259,0
45,6,3-45-b7a18b,1757915677261,3
46,6,1-46-a1a106,1757915677265,1
46,6,2-46-d519b2,1757915677265,2
46,6,0-46-f8d17c,1757915677265,0
46,5,3-46-817d2b,1757915677266,3
47,5,0-47-615f4e,1757915677270,0
47,5,2-47-67bc92,1757915677270,2
47,5,1-47-c68025,1757915677270,1
47,6,3-47-0d6752,1757915677272,3
48,5,0-48-fcb8f7,1757915677275,0
48,5,2-48-fc2960,1757915677275,2
48,6,1-48-107b86,1757915677276,1
48,5,3-48-d1c259,1757915677277,3
49,6,2-49-cf89e3,1757915677281,2
49,6,0-49-77eeb4,1757915677281,0
49,5,1-49-a9988a,1757915677281,1
49,5,3-49-2e5313,1757915677282,3
50,5,1-50-934340,1757915677286,1
50,5,2-50-b1427f,1757915677286,2
50,5,0-50-4854a9,1757915677286,0
50,6,3-50-1c4172,1757915677288,3
51,6,0-51-8619ae,1757915677292,0
